name,type,deal_date,market_median,multiplier,LTM,age,ID,price
,,2023-09-14,,5.46,3479.0,5.37,5323,19000.0
,,2023-09-12,,1.74,27130.0,1.0,5300,47200.0
,,2023-09-08,,3.56,11514.0,2.4,5301,41000.0
,,2023-09-11,,6.43,5167.0,4.66,5238,33250.0
,,2023-09-07,,3.44,1802.0,3.22,5312,6200.0
,,2023-09-06,,4.75,2313.0,9.13,5305,11000.0
,,2023-09-04,,5.14,77995.0,9.13,5308,401000.0
,,2023-08-31,,7.35,19039.0,5.63,5224,140000.0
,,2023-09-02,,8.26,4905.0,7.59,5309,40500.0
,,2023-08-31,,8.73,4009.0,11.95,5092,35000.0
,,2023-08-29,,4.39,7973.0,3.02,5152,35000.0
,,2023-08-30,,7.24,2623.0,2.49,5194,18999.0
,,2023-08-21,,20.79,12507.0,142.0,5296,260000.0
,,2023-08-18,,9.62,8838.0,11.09,4232,85000.0
,,2023-08-12,,2.22,6496.0,1.61,5292,14402.0
,,2023-08-11,,3.47,115132.0,2.35,5293,400000.0
,,2023-08-09,,3.88,35576.0,3.83,5052,137970.0
,,2023-08-08,,2.53,7031.0,7.25,3495,17800.0
,,2023-08-07,,4.43,8277.0,2.99,5271,36700.0
,,2023-08-03,,4.95,22472.0,14.33,5267,111250.0
,,2023-08-03,,2.15,15355.0,1.49,5144,33000.0
,,2023-08-04,,8.31,6014.0,36.37,5284,50000.0
,,2023-08-02,,4.34,5303.0,1.78,5278,23002.0
,,2023-07-27,,1.0,23839.0,1.75,5276,23839.0
,,2023-07-25,,5.55,7121.0,15.76,5270,39500.0
,,2023-07-21,,3.36,1042.0,1.59,5265,3500.0
,,2023-07-23,,3.07,12042.0,2.31,5263,37000.0
,,2023-07-23,,9.94,2314.0,21.01,4367,23000.0
,,2023-07-21,,4.96,1412.0,13.87,5158,7000.0
,,2023-07-21,,10.03,3986.0,21.05,5257,40000.0
,,2023-07-19,,4.32,5665.0,3.07,5256,24500.0
,,2023-07-18,,3.88,6064.0,1.92,5027,23500.0
,,2023-07-18,,8.73,4294.0,23.09,5251,37500.0
,,2023-07-14,,3.87,2443.0,4.75,3623,9450.0
,,2023-07-13,,14.47,75997.0,42.59,5255,1100000.0
,,2023-07-12,,5.57,4329.0,4.76,5246,24123.0
,,2023-07-10,,5.43,8294.0,11.92,5253,45000.0
,,2023-07-06,,5.64,3944.0,4.72,5247,22251.0
,,2023-07-08,,3.74,2337.0,1.52,5218,8750.0
,,2023-07-06,,11.74,8089.0,6.8,5242,95000.0
,,2023-07-01,,6.68,11131.0,10.58,5239,74375.0
,,2023-06-28,,8.21,9622.0,36.12,5229,79000.0
,,2023-06-27,,5.04,1071.0,1.7,5221,5400.0
,,2023-06-22,,3.78,9271.0,2.66,5216,35000.0
"Trey Songz, Nicki Minaj, Drake, Justin Bieber + More",life_of_rights,2023-06-22,,8.8,24947.0,11.35,5217,219603.0
"""Booty Me Down"" & More KStylis Hits - Publisher Royalties",life_of_rights,2023-06-22,,5.98,8716.0,8.89,5213,52100.0
"""White Tee"" by Summer Walker Ft. NO1-NOAH",30_year,2023-06-23,,4.78,5232.0,2.72,5230,25000.0
"Rihanna's ""Don't Stop the Music"", Enrique Iglesias + More - Publishing Royalties",life_of_rights,2023-06-23,,12.34,4214.0,15.04,5226,52000.0
Nelly & St. Lunatics - Songwriting Royalties,30_year,2023-06-20,,8.67,2421.0,20.45,5219,21000.0
Do Or Die - Songwriter Royalties,partial_10_year,2023-06-22,,3.96,1186.0,14.65,4652,4701.0
"B Young, GS, Phora, Toosii + More Publishing",life_of_rights,2023-06-19,,4.92,17267.0,2.41,5161,85000.0
Publishing From Soulja Boy & Beyoncé,life_of_rights,2023-06-21,,5.22,15714.0,12.75,4230,82000.0
"Songs from ""Norbit"" Soundtrack",30_year,2023-06-19,,7.75,1949.0,15.3,4157,15100.0
Publishing Royalties: Luh Soldier & More,life_of_rights,2023-06-21,,6.21,2498.0,5.1,4245,15501.0
"""Familia"" from Spider-Man: Into The Spider-Verse",life_of_rights,2023-06-20,,9.83,2441.0,4.5,4931,24000.0
"""Shh"" by Young Fanatic - Songwriter Royalties",partial_10_year,2023-06-19,,2.63,4346.0,4.31,4994,11407.0
"Blackbear, Jacob Sartorius + More - Songwriter Royalties",30_year,2023-06-15,,6.87,1200.0,4.58,5212,8250.0
Hip-Hop Songwriter Royalties - Peewee Longway,partial_10_year,2023-06-16,,4.15,1089.0,3.26,5201,4520.0
“Party Like A Rockstar” -  Songwriter Royalties,30_year,2023-06-15,,8.67,2883.0,15.9,5203,25000.0
"Travis Scott, 50 Cent, ILOVEMAKONNEN ft. Drake - Songwriter Royalties",life_of_rights,2023-06-13,,8.06,105451.0,7.21,4584,850000.0
Nelly’s Iconic Hit “Ride Wit Me”,life_of_rights,2023-06-13,,9.6,10100.0,23.14,5200,97000.0
"Quavo, Dave East & Youngs Teflon Songwriter Royalties",life_of_rights,2023-06-14,,2.8,1071.0,1.7,5208,3001.0
Cues from The Carbonaro Effect,partial_10_year,2023-06-09,,2.95,44055.0,5.49,4898,130000.0
"Publishing - ""Shooters Inside My Crib"" by Quavo + More",life_of_rights,2023-06-11,,3.42,2337.0,1.27,5199,8000.0
"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",life_of_rights,2023-06-06,,1.76,5683.0,1.34,5189,10000.0
Hip-Hop Songwriter Royalties - Peewee Longway,10_year,2023-06-07,,4.15,1089.0,3.26,5185,4520.0
"Publishing Royalties featuring Jack Fowler, Nathan Dawe & More",life_of_rights,2023-06-07,,3.96,4542.0,2.53,5172,18000.0
International Pop and Hip-Hop,partial_10_year,2023-06-04,,3.61,942.0,10.21,2817,3400.0
"Hip-Hop Publishing ""I Just Wanna"" by Lucas Coly and More",partial_10_year,2023-06-06,,6.58,2030.0,5.98,4888,13355.0
"Kash Doll - ""Single & Happy"" Songwriter Royalties",partial_30_year,2023-06-06,,3.44,2617.0,2.14,5155,9000.0
Music From Quentin Tarantino’s “Pulp Fiction”,life_of_rights,2023-06-02,,10.9,17332.0,28.46,4147,189000.0
90’s R&B Featured in Sitcom “Friends”,life_of_rights,2023-06-04,,8.89,5063.0,25.25,3746,45001.0
"TV Series ""Glee"" - Profit Participation",life_of_rights,2023-05-30,,8.77,119130.0,10.71,5045,1045000.0
"Songwriter Royalties Ft. Dave East, Millyz, & Dej Loaf",life_of_rights,2023-05-31,,10.24,415.0,2.74,5038,4250.0
"""Wasn't Expecting That"" by Jamie Lawson - Producer Royalties",life_of_rights,2023-05-30,,10.96,4334.0,7.71,4941,47500.0
Streaming-Driven Hip-Hop/Pop Featuring Beyoncé,life_of_rights,2023-05-29,,10.52,2186.0,9.94,3688,23001.0
"Iconic 90s Hit ""I Got 5 On It"" and More - Songwriter Royalties",life_of_rights,2023-05-28,,10.4,14430.0,26.93,5166,150000.0
Bobby Shmurda - Producer Label Royalties,life_of_rights,2023-05-22,,7.55,20902.0,8.68,5135,157800.0
"""Never Forget"" by Future - Songwriter Royalties",partial_30_year,2023-05-25,,7.25,1068.0,7.2,5017,7750.0
Lil Uzi Vert + More Hip-Hop Publishing Royalties,partial_10_year,2023-05-24,,3.67,19432.0,6.16,3896,71400.0
Independent Hip-Hop Publishing Royalties From Euroz,partial_10_year,2023-05-24,,4.9,1143.0,4.9,4932,5600.0
Performance Royalties: Taylor Acorn,life_of_rights,2023-05-23,,14.43,1247.0,5.19,4056,18000.0
Pop from Kristinia DeBarge and More,life_of_rights,2023-05-20,,7.73,1339.0,4.09,4741,10350.0
TV Placements Created by Xzibit & 21 The Producer,life_of_rights,2023-05-19,,6.5,4074.0,3.38,5124,26500.0
"Eric Paslay, Marc Broussard & Kate Voegele Album Royalties",life_of_rights,2023-05-19,,9.49,14011.0,13.38,5114,133000.0
Songwriter Royalties: Luh Soldier & More,life_of_rights,2023-05-17,,8.72,1145.0,3.77,4392,9989.0
Hip-Hop Publishing: A$AP Ferg & More,life_of_rights,2023-05-16,,9.92,1552.0,8.16,4323,15388.0
Streaming-Heavy Hip-Hop from YFN Lucci & Gucci Mane,life_of_rights,2023-05-16,,9.96,597.0,5.99,5122,5949.0
Pop From Backstreet Boys & More,life_of_rights,2023-05-15,,10.92,4855.0,9.18,4099,53000.0
Soul - Jazz Songwriter Royalties,life_of_rights,2023-05-15,,12.63,2455.0,53.23,5164,31000.0
"""Drama"" by Roy Woods ft. Drake - Publishing Royalties",10_year,2023-05-13,,5.27,37971.0,7.42,4979,200000.0
Keeping Up With The Kardashians & More TV Music,life_of_rights,2023-05-12,,10.29,603.0,3.55,5119,6200.0
Durag Activity by Baby Keem feat. Travis Scott - Songwriter Royalties,30_year,2023-05-10,,2.69,7611.0,1.92,5102,20500.0
Publishing: Established Christian Hip-Hop,life_of_rights,2023-05-10,,5.73,57594.0,20.83,4686,330000.0
"Stan Walker's ""Bigger"" & Jasmine Sokko's ""Magnet""",life_of_rights,2023-05-10,,1.13,5405.0,2.67,5157,6099.0
"Mozzy, Chito Rana$, & More Lyrical Hip-Hop",life_of_rights,2023-05-09,,8.62,926.0,3.77,5126,7978.0
Hip-Hop Producer Royalties Featuring Ali Gatie,life_of_rights,2023-05-01,,5.99,3754.0,4.9,4798,22500.0
"Building 429's ""Where I Belong"" + More",life_of_rights,2023-05-02,,8.52,11032.0,9.02,5080,94000.0
"BONNIE X CLYDE's ""Love is Killing Me"" - Songwriter Royalties",life_of_rights,2023-04-30,,17.25,991.0,3.0,4703,17100.0
"Busta Rhymes, Juvenile, Slim Thug, and More",partial_10_year,2023-04-28,,3.89,1235.0,13.65,4012,4805.0
Simple Minds - Iconic Rock Band's Songwriting Royalties,life_of_rights,2023-04-27,,10.07,9434.0,40.85,5131,95000.0
Simple Minds -  Iconic Rock Band's Sound Recording Royalties,life_of_rights,2023-04-27,,15.59,2245.0,29.21,5140,35000.0
Harry Styles Debut Album - Domestic (U.S.) Royalties Only,life_of_rights,2023-04-24,,7.55,28405.0,5.56,4393,214500.0
Indie Trap Producer NOIXES,life_of_rights,2023-04-26,,11.11,810.0,4.0,5086,9000.0
"R&B Classics from Virtue, Destiny's Child, Angie Stone + More",life_of_rights,2023-04-25,,11.19,1698.0,17.83,5076,19000.0
Simple Minds - Iconic Rock Band Publishing Royalties,life_of_rights,2023-04-21,,17.27,2605.0,40.22,5132,45000.0
"Catalog Featuring Pop, Country, Christian & Rock",partial_10_year,2023-04-20,,3.22,10087.0,8.97,3655,32500.0
Pop Hits from Zayn,life_of_rights,2023-04-21,,7.4,33806.0,6.21,5100,250000.0
Contemporary Christian Hits,life_of_rights,2023-04-20,,8.87,2085.0,8.81,5054,18500.0
Songwriter Royalties - Pop Single From Gryffin,partial_30_year,2023-04-20,,6.52,1840.0,1.5,4895,12000.0
"Nelly's ""Batter Up"" - Songwriter Royalties",partial_30_year,2023-04-20,,11.77,1487.0,21.73,4866,17500.0
"The Commodores - ""Brick House"" + More - Publishing Royalties",life_of_rights,2023-04-14,,12.54,16343.0,46.75,5107,205000.0
"Usher's ""Bad Girl"" - Songwriter Royalties",partial_30_year,2023-04-17,,8.07,8037.0,19.02,5073,64888.0
"Tory Lanez, Playboi Carti, Kelly Rowland and More Hip-Hop and R&B",30_year,2023-04-14,,3.67,1145.0,2.77,5128,4200.0
Tupac and Big Pun - Songwriter Royalties,life_of_rights,2023-04-13,,9.58,4750.0,18.11,5106,45500.0
"""Where I Belong"" + More from Building 429",life_of_rights,2023-04-12,,8.94,12526.0,11.01,5103,112000.0
"Songwriter Royalties from ""Wicked (Acapella)"" by JMB Juvie",life_of_rights,2023-04-12,,1.87,4173.0,1.5,4993,7800.0
"James Blunt, Little Mix + More Pop Songwriting Royalties",life_of_rights,2023-04-10,,5.5,27258.0,5.09,5091,150000.0
"""Prices"" by Lil Uzi Vert - Songwriting Royalties",life_of_rights,2023-04-10,,5.85,2648.0,3.25,5113,15500.0
"Hip-hop and R&B featuring Lil Wayne, Monica, and DMX",30_year,2023-04-09,,6.84,3947.0,9.98,5109,27000.0
"Platinum Hit ""Rompe"" by Daddy Yankee",partial_10_year,2023-04-07,,6.37,2229.0,12.0,4530,14200.0
"Kash Doll - ""Single & Happy"" Songwriter Royalties",30_year,2023-04-06,,2.44,2667.0,2.19,5112,6500.0
"""Bags"" By Kevin Gates - Publishing Royalties",life_of_rights,2023-03-31,,5.16,15712.0,3.26,5039,81125.0
SZA's Debut Album - Ctrl - Producer Royalties,life_of_rights,2023-03-31,,6.26,32729.0,5.61,5097,205000.0
Publishing Royalties from Say Anything,life_of_rights,2023-03-30,,6.91,37461.0,16.51,5095,259000.0
"Chris Brown, Migos, Bhad Bhabie & More",30_year,2023-03-27,,7.6,3788.0,6.97,5074,28800.0
Listerine Mouthwash — Sales Royalties,life_of_rights,2023-03-25,,19.96,13028.0,141.51,5089,260000.0
Hip-Hop Songwriting Royalties - Amir Obè,life_of_rights,2023-03-24,,8.66,4619.0,6.04,4401,40000.0
Frankie Ballard - Hit Country Producer Royalties,life_of_rights,2023-03-23,,9.92,11293.0,8.56,5087,112000.0
Songwriter Royalties from Say Anything,30_year,2023-03-21,,7.48,11358.0,16.39,5088,85000.0
Sales Royalties: Listerine Mouthwash,life_of_rights,2023-03-22,,18.42,32571.0,141.51,5090,600000.0
"""Closure"" by Kodak Black - Publishing Royalties",life_of_rights,2023-03-17,,3.16,6330.0,1.08,5081,20000.0
"James Blunt, Little Mix + More Pop Songwriting Royalties",life_of_rights,2023-03-17,,5.5,27258.0,5.09,5062,150000.0
"""Nasty Freestyle"" - T-Wayne Artist Royalties",life_of_rights,2023-03-13,,6.44,60550.0,7.7,4925,390000.0
Songwriter Royalties from Hip-Hop Beats,life_of_rights,2023-03-16,,6.3,2524.0,4.73,5071,15900.0
90's Tracks from Rob'n'Raz - Songwriter Royalties,life_of_rights,2023-03-14,,10.92,2244.0,26.89,5036,24500.0
Robbie Rivera House Music Songwriting Royalties,life_of_rights,2023-03-11,,8.32,3259.0,11.08,5077,27100.0
"Anastacia's ""Paid My Dues"" - Songwriter Royalties",10_year,2023-03-09,,5.28,6254.0,21.14,5063,33002.0
"Classic Soul and R&B Sampled by Kanye, 50 Cent, and More",life_of_rights,2023-03-08,,4.2,4164.0,9.42,5079,17500.0
"Pop Songs from G.R.L., WWE Placements + More - Songwriter Royalties",30_year,2023-03-02,,5.35,7847.0,6.74,5060,42000.0
"Legendary 90's Hit ""I Got 5 On It""",10_year,2023-03-02,,4.12,173624.0,27.49,5034,715000.0
Indie Trap Producer NOIXES,life_of_rights,2023-03-02,,5.8,810.0,3.75,5072,4700.0
Independent Dark Pop from Simon Curtis - Songwriter Royalties,life_of_rights,2023-03-01,,8.27,6502.0,11.94,5047,53750.0
"Rita Ora's ""New Look"" & More - Songwriter Royalties",life_of_rights,2023-03-01,,8.88,2083.0,2.89,4138,18500.0
"Janet Jackson - ""Let's Wait Awhile"" Publishing Royalties",life_of_rights,2023-02-23,,13.63,3016.0,35.99,5055,41101.0
"""Lady Love"" by Lou Rawls - Classic Soul Songwriter Royalties",30_year,2023-02-22,,12.86,6531.0,45.0,5043,84000.0
"Migos, Kevin Gates + More Publishing Royalties",life_of_rights,2023-02-22,,6.5,5388.0,3.73,5041,35000.0
"""Bags"" by Kevin Gates - Producer Royalties",life_of_rights,2023-02-17,,5.08,6195.0,3.26,4631,31500.0
Rob Curly Songwriter Royalties,30_year,2023-02-17,,6.1,1819.0,4.31,5042,11100.0
Post Malone & Travis Scott: Streaming-Driven Hip-Hop,life_of_rights,2023-02-19,,8.71,13550.0,5.63,4035,118000.0
Publishing Royalties from Electronic Pop Catalog,life_of_rights,2023-02-19,,7.52,28705.0,6.05,4958,216000.0
"""Save The Best For Last"" By Vanessa Williams",life_of_rights,2023-02-18,,14.17,7761.0,29.1,4599,110000.0
Asset #2840,partial_10_year,2023-02-17,,5.4,9305.0,9.88,2840,50250.0
Rock Royalties from Evans Blue,partial_10_year,2023-02-17,,5.72,4678.0,10.63,3115,26778.0
"Usher's ""Bad Girl"" - Songwriter Royalties",30_year,2023-02-16,,7.24,6423.0,18.78,5010,46500.0
Songwriter Royalties from Rock Band Redlight King,30_year,2023-02-16,,8.31,1685.0,9.01,4131,14000.0
"""D Rose"" by Lil Pump - Songwriter Royalties",life_of_rights,2023-02-12,,6.68,2582.0,6.19,5035,17250.0
"Tracks from Machine Gun Kelly's ""Bloom""",life_of_rights,2023-02-10,,9.14,7497.0,5.75,4034,68500.0
Songwriter Royalties from 2Floody,life_of_rights,2023-02-09,,1.03,14535.0,1.72,4965,15000.0
"Lil Pump's ""Drug Addicts"" - Songwriter Royalties",life_of_rights,2023-02-10,,4.96,1613.0,4.5,5030,8000.0
"""What's Poppin"" by Jack Harlow - Songwriter Royalties",life_of_rights,2023-02-08,,6.2,22113.0,2.79,5031,137000.0
"Publishing Royalties ft. TobyMac, Cain, Building 429+ More",life_of_rights,2023-02-02,,6.47,18235.0,3.45,5012,118000.0
Publishing Royalties from DJ Todd Terry,life_of_rights,2023-01-31,,9.0,24432.0,22.03,4790,220000.0
Tory Lanez and EarthGang - Songwriter Royalties,life_of_rights,2023-02-01,,5.51,3627.0,2.32,4753,20001.0
"""Something About You"" by Hayden James - Publishing Royalties",life_of_rights,2023-01-31,,7.5,11797.0,7.94,4956,88442.0
"""D Rose"" by Lil Pump - Publishing Royalties",life_of_rights,2023-01-30,,6.28,4853.0,6.19,5021,30500.0
"Music From Real Housewives, Below Deck, + More Reality TV",life_of_rights,2023-01-30,,6.81,4996.0,4.34,5016,34000.0
Blues from Joe Bonamassa and Eric Gales - Publishing Royalties,life_of_rights,2023-01-27,,1.86,12520.0,1.53,5013,23300.0
Jaden & Miley Cyrus - Streaming-Heavy Catalog,30_year,2023-01-28,,9.08,2863.0,5.2,4295,26000.0
“Ran Off On Da Plug Twice” by Plies - Songwriter Royalties,life_of_rights,2023-01-26,,8.19,1575.0,5.25,4999,12900.0
"Modern Pop from Jukebox the Ghost, Sheppard, The Vamps and More",life_of_rights,2023-01-26,,5.86,24215.0,5.12,4974,141899.0
Blues from Joe Bonamassa and Eric Gales,life_of_rights,2023-01-23,,3.89,2829.0,1.45,5003,11000.0
"Songwriter Royalties featuring Big Sean, grouptherapy, Snoh Aalegra, and Rejjie Snow",10_year,2023-01-23,,3.17,11137.0,2.65,4997,35294.0
Zayn and More - Publishing Performance Royalties,10_year,2023-01-23,,5.3,943.0,2.23,5001,5000.0
"""In Touch with Dr. Charles Stanley"" - Background Music - Performance Royalties (Songwriter)",partial_30_year,2023-01-20,,2.67,3554.0,3.24,3945,9500.0
R&B and Hip-Hop Songwriter Royalties featuring Zayn and More,10_year,2023-01-20,,4.68,1281.0,2.62,5002,6000.0
"""Bougie"" by Lil Durk ft. Meek Mill - Publishing Royalties",life_of_rights,2023-01-20,,7.02,1851.0,3.78,4989,13000.0
"""Playinwitme"" by KYLE ft. Kehlani - Songwriter Royalties",30_year,2023-01-18,,6.71,1491.0,4.79,4984,10000.0
"""Footsteps"" by Kehlani ft. Musiq Soulchild - Songwriter Royalties",30_year,2023-01-15,,5.87,1260.0,3.86,4985,7400.0
Established Alt-Rock: Featuring Anarbor,life_of_rights,2023-01-17,,10.37,3092.0,10.4,3815,32051.0
Modern Metal from Atreyu featuring Travis Barker and More,10_year,2023-01-16,,4.37,3546.0,1.77,4980,15500.0
"TobyMac, Building 429, Cain, + More - Songwriter Royalties",life_of_rights,2023-01-14,,4.51,14510.0,2.79,4983,65500.0
"""Love"" by We Are Messengers",life_of_rights,2023-01-13,,5.45,2185.0,3.05,4641,11900.0
"""Brand New"" by Ben Rector + More - Publishing Royalties",life_of_rights,2023-01-11,,7.76,14950.0,6.08,4961,116000.0
Contemporary Christian - Public Performance Publishing Royalties,partial_30_year,2023-01-09,,10.78,742.0,2.85,4692,8000.0
"""Shh"" by Young Fanatic - Songwriter Royalties",10_year,2023-01-07,,3.52,2335.0,3.82,4986,8211.0
"""Bad Day"" By Daniel Powter + More - Producer Royalties",life_of_rights,2023-01-06,,8.45,22764.0,17.61,4893,192250.0
"Hip-Hop Songwriter Royalties feat. NoCap, Quando Rondo and More",life_of_rights,2023-01-08,,3.79,4488.0,3.36,4975,17000.0
"""Rapture"" By Koffee",life_of_rights,2023-01-07,,9.64,2386.0,3.75,3813,23000.0
Alert Tone Royalties from Apple,life_of_rights,2023-01-07,,6.47,21323.0,2.47,4695,137900.0
"Dem Franchize Boyz ""Lean Wit It Rock Wit It"" + More",partial_30_year,2023-01-03,,15.85,1117.0,15.17,4657,17700.0
"Pop & Country Songwriter Royalties: Ben Rector, Chris Lane, + More",life_of_rights,2023-01-04,,7.67,24115.0,6.17,4946,185000.0
"Producer Royalties: ""Hope You Do"" by Chris Brown",life_of_rights,2023-01-02,,5.43,2762.0,4.93,4953,15000.0
Contemporary Christian Publishing Royalties ft. TobyMac and Mandisa,life_of_rights,2022-12-29,,8.12,6404.0,11.01,4944,52000.0
"""In Touch with Dr. Charles Stanley"" - Background Music - Performance Royalties (Publisher)",partial_30_year,2022-12-28,,1.71,3628.0,2.99,3947,6200.0
"""Drama"" by Roy Woods ft. Drake - Songwriter Royalties",10_year,2022-12-25,,4.02,18657.0,7.25,4955,75000.0
Cage The Elephant - Rock Publishing Royalties,life_of_rights,2022-12-23,,13.37,10848.0,10.15,4960,145000.0
"""Brick House"", ""Machine Gun"" and More from The Commodores",life_of_rights,2022-12-22,,16.7,10479.0,46.21,4973,175000.0
"""Corazon de Seda"" by Klasico ft. Ozuna",10_year,2022-12-22,,5.09,3534.0,7.0,4969,18000.0
Country Hits from Travis Tritt - Producer Royalties,life_of_rights,2022-12-22,,9.4,83000.0,29.53,4920,780000.0
Swedish Hip-Hop Songwriter Royalties,life_of_rights,2022-12-22,,4.72,1323.0,1.95,4971,6250.0
"""C U When You Get There"" by Coolio",life_of_rights,2022-12-22,,10.89,1836.0,24.95,4968,20000.0
Songwriter Royalties from Explorers Club + TV/Film Placements,10_year,2022-12-21,,5.02,1593.0,9.91,4970,8000.0
"""Wicked (Acapella)"" by JMB Juvie - Publisher Public Performance",life_of_rights,2022-12-15,,1.39,3819.0,1.0,4951,5301.0
Cues from The Carbonaro Effect,10_year,2022-12-13,,2.64,10781.0,4.97,4942,28500.0
"Songwriter Royalties - Chris Brown, Lotto, + More",life_of_rights,2022-12-12,,10.73,932.0,2.21,4851,10000.0
"Pop Songwriter Royalties ft. Demi Lovato, Camila Cabello, + More",life_of_rights,2022-12-12,,5.87,16182.0,3.1,4947,95000.0
"Lana Del Rey's ""Lust For Life"" Album - Producer Royalties",life_of_rights,2022-12-11,,6.98,10389.0,5.25,4950,72500.0
"Lana Del Rey's ""Honeymoon"" Album - Producer Royalties",life_of_rights,2022-12-09,,9.9,7781.0,7.06,4948,77000.0
Reality TV Songwriter Royalties - Impractical Jokers and More,10_year,2022-12-05,,3.38,4440.0,9.6,4938,15000.0
"Copyright and Royalties - Machine Gun Kelly's ""Home"" + more",life_of_rights,2022-12-03,,6.54,15280.0,4.83,4913,100000.0
"""Rip Stick"" by Kodak Black - Publishing Royalties",life_of_rights,2022-11-30,,5.94,3958.0,1.4,4909,23500.0
Music from Bewitched and other 1960's TV & Films,life_of_rights,2022-12-01,,12.95,1866.0,56.56,4908,24165.0
"""Sad Hours"" by LRN Slime - Sound Recording Royalties",life_of_rights,2022-11-26,,3.6,6525.0,1.7,4904,23500.0
"Music Used In Sportscasts, R&B From Sisqo + More",life_of_rights,2022-11-25,,7.86,5457.0,12.19,4832,42900.0
"""Choices"" by E-40 - Publishing Royalties",life_of_rights,2022-11-24,,3.52,17036.0,8.07,4915,60000.0
Patient Zero Beats - Sound Recording Royalties,life_of_rights,2022-11-21,,5.27,22958.0,4.23,4897,121000.0
Contemporary Worship: Sound Recording & Publishing Royalties,life_of_rights,2022-11-21,,7.28,12643.0,8.38,4912,92000.0
"T-Wayne Artist Royalties: ""Nasty Freestyle"" + More",life_of_rights,2022-11-21,,6.47,23192.0,7.51,4813,150000.0
Future & YoungBoy NBA Songwriter Royalties,life_of_rights,2022-11-18,,8.98,947.0,3.89,4659,8500.0
Independent Hip-Hop Publishing Royalties From Euroz,10_year,2022-11-17,,3.71,1213.0,4.55,4917,4500.0
"Music for Television Including ""Black Lady Sketch Show"" and ""Real Housewives""",10_year,2022-11-16,,3.93,1376.0,1.24,4916,5400.0
"""Rip Stick"" by Kodak Black - Songwriter Royalties",30_year,2022-11-15,,2.73,1372.0,1.4,4910,3750.0
Streaming-Driven Hip-Hop From RiFF RAFF,partial_10_year,2022-11-13,,6.62,386.0,5.77,3704,2551.0
Chill Low-Fi Royalties from Smeyeul,partial_30_year,2022-11-11,,7.32,929.0,2.69,4757,6800.0
"Music from Zachariah, The Gun Hawk + Other Classic TV/Films",life_of_rights,2022-11-09,,5.81,8439.0,53.07,4883,49000.0
"""Having Our Way"" From Migos + Drake",10_year,2022-11-09,,2.95,7113.0,1.5,4816,21000.0
International Pop & Hip-Hop Catalog,partial_10_year,2022-11-06,,2.88,1911.0,6.44,3203,5500.0
"14-Year Old, Streaming-Driven Hip-Hop",partial_10_year,2022-11-01,,3.78,3232.0,15.3,4089,12228.0
"Songwriter Royalties featuring ScHoolboy Q, Future, Lil Xan, Kendrick Lamar",life_of_rights,2022-10-31,,6.21,5152.0,4.44,4873,32000.0
"""20 Joints"" By Berner + More Songwriter Royalties",life_of_rights,2022-10-31,,7.07,989.0,6.37,4884,7000.0
"Songwriter Royalties feat. Youngboy NBA, Rod Wave",life_of_rights,2022-10-31,,7.17,2107.0,3.73,4876,15105.0
Passion Pit Producer Royalties,life_of_rights,2022-10-28,,7.81,34095.0,11.07,4846,266250.0
"The Hour, Craig David + More Publishing Royalties",life_of_rights,2022-10-26,,5.26,6751.0,3.7,4802,35500.0
Songwriter Royalties - Pop Single From Gryffin,30_year,2022-10-17,,3.85,1435.0,1.0,4844,5525.0
"""Best Is Yet To Come"" By Gryffin",30_year,2022-10-17,,4.15,1075.0,1.0,4843,4460.0
"Alabama's ""If You're Gonna Play In Texas""",life_of_rights,2022-10-15,,12.42,7646.0,38.21,4865,95000.0
Hip-Hop Publishing Royalties Featuring Gunna,life_of_rights,2022-10-14,,5.43,2966.0,5.66,4863,16100.0
Diverse Catalog Placed in TV/Film,life_of_rights,2022-10-13,,7.66,4310.0,3.81,4800,33000.0
"Chris Brown's ""Party"" - Performance Royalties",life_of_rights,2022-10-12,,16.4,853.0,5.75,4834,14000.0
"Producer Royalties: ""Butter Pecan"" By YNW Melly",life_of_rights,2022-10-06,,3.75,2398.0,4.06,4853,9000.0
"Publishing Royalties: ""Butter Pecan"" By YNW Melly",life_of_rights,2022-10-06,,4.63,8959.0,4.06,4841,41500.0
"Songwriter Royalties - YNW Melly's ""Butter Pecan""",30_year,2022-10-06,,2.68,3262.0,4.06,4840,8750.0
Performance Royalties: Hip-Hop From V.I.C & Troop 41,30_year,2022-10-05,,7.88,1142.0,10.46,4839,9000.0
Cues From The Rachel Ray Show + More,life_of_rights,2022-10-02,,3.75,45295.0,10.41,4823,170000.0
International Pop Songwriter Royalties,life_of_rights,2022-09-29,,14.13,1139.0,3.41,4726,16100.0
"Buffet Boys Writer Share ft Pouya, Shakewell , & Bexey",life_of_rights,2022-10-01,,9.5,3476.0,4.75,4434,33000.0
"""Then Leave"" By BeatKing & Queendom Come - Publishing Royalties",life_of_rights,2022-10-01,,4.16,9132.0,2.27,4835,38000.0
Rock Band -  Cage The Elephant - Publishing Royalties,life_of_rights,2022-09-27,,16.98,3093.0,10.02,4827,52500.0
"Hip-Hop Publishing Royalties: Rod Wave, Youngboy NBA + More",life_of_rights,2022-09-27,,4.88,8809.0,3.43,4821,43000.0
Tech N9ne - Songwriter Royalties,10_year,2022-09-23,,5.57,1400.0,13.48,4814,7799.0
