Listing ID,Sale Price,LTM Multiple,Last 12 Months,3-Year Average,Earnings Since 2022,Dollar Age,Track Included,Last Transaction Price,Last Transaction Date,Term,Marketplace Median,Minimum Bid,Asset ID,Offer Info,Earnings Since 2021,Tracks Included,Earnings Since 2019,Earnings Since 2014,Years Remaining,Expiration Date,Earnings Since 2018,Earnings Since 2015,Earnings Since 2009,Earnings Since 2013,,,,,,,,
5510,"$161,000 ",6.71 x LTM,23991,"$22,893 ",,4.91 Years,16,Life of Rights,,"$100,000 ",5510,"$121,557 ",,,,,,,,,,,,,,,,,,,,
5540,"$10,500 ",5.88 x LTM,1787,"$2,596 ","$29,721 ",3.98 Years,2,Life of Rights,,"$5,000 ",5540,,,,,,,,,,,,,,,,,,,,,
4004,"$3,001 ",4.59 x LTM,654,$696 ,,9.38 Years,16,Term Advance 10-Year,,"$3,000 ",4004,"$24,355 ","$9,500 ",4-Mar-21,4.18,3-May-28,,,,,,,,,,,,,,,,
2991,"$4,001 ",4.47 x LTM,895,$906 ,,9.49 Years,13,Term Advance 10-Year,,"$4,000 ",2991,"$13,476 ","$5,771 ",16-Apr-19,5.13,16-Apr-29,,,,,,,,,,,,,,,,
5526,"$138,000 ",8.20 x LTM,16833,"$19,823 ",,8.05 Years,,Life of Rights,,"$65,000 ",5526,,,,,,"$71,031 ",1,1,,,,,,,,,,,,,
5538,"$79,500 ",31.00 x LTM,2564,"$2,607 ",,142.51 Years,,Life of Rights,,"$10,000 ",5538,,,,,,,1,1,,,,,,,,,,,,,
4429,"$4,500 ",3.49 x LTM,1289,"$1,845 ",,17.43 Years,77,Term Advance 10-Year,,"$3,500 ",4429,,"$6,400 ",13-Dec-21,5.32,17-Jun-29,,,,"$45,729 ",,,,,,,,,,,,
5516,"$28,100 ",6.22 x LTM,4519,—,,4.34 Years,2,Life of Rights,,"$17,500 ",5516,,,,,,,,,,"$9,036 ",,,,,,,,,,,
4967,"$4,000 ",20.45 x LTM,196,$319 ,"$1,011 ",3.71 Years,3,Life of Rights,,"$3,000 ",4967,,"$6,000 ",3-Sep-22,,,,,,,,,,,,,,,,,,
5529,"$44,250 ",7.71 x LTM,5737,"$7,767 ",,5.60 Years,18,Life of Rights,,"$20,000 ",5529,"$74,603 ",,,,,,,,,,,,,,,,,,,,
5381,"$12,000 ",6.79 x LTM,1767,"$1,952 ",,3.71 Years,16,Life of Rights,,"$3,000 ",5381,,,,,,"$7,112 ",,,,,,,,,,,,,,,
5524,"$300,000 ",4.21 x LTM,71340,—,,2.47 Years,289,Life of Rights,,"$200,000 ",5524,,,,,,,,,,,"$147,694 ",,,,,,,,,,
5482,"$44,250 ",7.07 x LTM,6259,"$4,037 ",,7.06 Years,209,Life of Rights,,"$20,000 ",5482,,,,,,,,,,,,"$13,537 ",,,,,,,,,
5297,"$198,000 ",7.40 x LTM,26773,"$25,402 ",,6.18 Years,49,Life of Rights,,"$170,000 ",5297,,"$150,000 ",10-Apr-23,,,,,,,,,,"$126,064 ",,,,,,,,
5521,"$65,000 ",2.52 x LTM,25789,—,,1.62 Years,,Life of Rights,,"$25,000 ",5521,,,,,,,1,1,,,"$34,830 ",,,,,,,,,,
5460,"$56,000 ",7.64 x LTM,7328,"$6,526 ",,8.18 Years,274,Term Advance 30-Year,,"$25,000 ",5460,"$53,862 ",,,30,9-Feb-54,,,,,,,,,,,,,,,,
4894,"$5,580 ",12.38 x LTM,451,—,,2.25 Years,,Term Advance 30-Year,,"$1,925 ",4894,,"$4,460 ",17-Oct-22,28.69,17-Oct-52,,1,1,,"$1,685 ",,,,,,,,,,,
5127,"$9,800 ",7.53 x LTM,1302,"$1,634 ",,5.25 Years,49,Term Advance 30-Year,,"$9,200 ",5127,,"$11,100 ",20-Feb-23,29.03,20-Feb-53,,,,,,,,,"$10,298 ",,,,,,,
5502,"$6,750 ",6.19 x LTM,1091,$707 ,,7.00 Years,2,Term Advance 30-Year,,"$2,000 ",5502,,,,30,7-Feb-54,,,,,,,,,"$5,384 ",,,,,,,
5503,"$156,000 ",10.72 x LTM,14548,"$12,321 ",,19.55 Years,70,Life of Rights,,"$101,000 ",5503,,"$300,000 ",10-Aug-21,,,,,,,,,,,"$62,512 ",,,,,,,
4298,"$45,882 ",5.25 x LTM,8738,"$8,454 ",,6.70 Years,58,Term Advance 10-Year,,"$26,000 ",4298,,,,10,1-Feb-34,,,,,,,"$137,505 ",,,,,,,,,
5488,"$111,000 ",7.83 x LTM,14177,"$12,782 ",,10.71 Years,232,Life of Rights,,"$105,000 ",5488,,,,,,,,,,,,,,,"$227,784 ",,,,,,
5481,"$65,000 ",13.61 x LTM,4777,"$4,696 ",,26.69 Years,,Life of Rights,,"$20,000 ",5481,,,,,,,1,1,,,,,"$20,555 ",,,,,,,,
4555,"$5,000 ",3.50 x LTM,1430,"$1,111 ",,13.13 Years,29,Term Advance 10-Year,,"$4,200 ",4555,,"$6,522 ",25-Apr-20,5.4,26-Jun-29,,,,,,,,,,,"$25,450 ",,,,,
5480,"$130,000 ",5.17 x LTM,25126,"$34,845 ","$127,471 ",3.97 Years,27,Life of Rights,,"$80,000 ",5480,,,,,,,,,,,,,,,,,,,,,
5422,"$1,250,000 ",6.92 x LTM,180749,"$311,749 ",,3.46 Years,,Life of Rights,,"$625,000 ",5422,,,,,,"$950,869 ",1,1,,,,,,,,,,,,,
5444,"$16,500 ",16.50 x LTM,1000,$726 ,,31.71 Years,32,Life of Rights,,"$4,000 ",5444,,,,,,,,,,"$2,178 ",,,,,,,,,,,
5204,"$4,150 ",4.20 x LTM,988,$844 ,,10.52 Years,25,Term Advance 10-Year,,"$1,700 ",5204,,"$3,400 ",6-Jun-23,4.72,15-Oct-28,,,,,,,,,,,"$41,583 ",,,,,
5464,"$535,000 ",8.16 x LTM,65559,"$68,551 ",,5.15 Years,36,Life of Rights,,"$285,000 ",5464,,,,,,,,,,,,,"$534,721 ",,,,,,,,
5478,"$38,000 ",7.04 x LTM,5399,"$3,651 ",,7.67 Years,181,Life of Rights,,"$15,000 ",5478,,,,,,,,,,,,"$12,334 ",,,,,,,,,
5104,"$52,750 ",6.66 x LTM,7921,"$8,106 ",,7.82 Years,38,Term Advance 30-Year,,"$18,729 ",5104,,"$42,000 ",5-Mar-23,29.11,5-Mar-53,,,,,,,,,,,,"$91,520 ",,,,
4605,"$2,800 ",11.74 x LTM,239,$305 ,,10.69 Years,16,Term Advance 10-Year,,"$2,800 ",4605,,"$2,500 ",19-Apr-22,5.14,14-Mar-29,,,,,,,,,,"$3,605 ",,,,,,
4088,"$15,500 ",6.43 x LTM,2411,"$2,865 ",,13.31 Years,4,Term Advance 30-Year,,"$1,722 ",4088,,"$15,000 ",3-Aug-21,27.53,3-Aug-51,,,,,,,,,,,,,"$73,247 ",,,
5495,"$13,700 ",10.32 x LTM,1328,"$1,488 ",,5.05 Years,,Life of Rights,,"$3,000 ",5495,,,,,,,1,1,,"$4,463 ",,,,,,,,,,,
5492,"$13,950 ",5.31 x LTM,2627,—,,2.92 Years,2,Life of Rights,,"$5,000 ",5492,,"$23,500 ",22-Nov-22,,,,,,,"$12,251 ",,,,,,,,,,,
5467,"$16,000 ",9.54 x LTM,1677,"$24,779 ","$74,430 ",3.11 Years,8,Life of Rights,,"$3,000 ",5467,,,,,,,,,,,,,,,,,,,,,
5399,"$23,000 ",19.02 x LTM,1209,$979 ,,16.25 Years,15,Life of Rights,,"$10,000 ",5399,,,,,,,,,,,,,,"$5,690 ",,,,,,,
5466,"$11,000 ",2.47 x LTM,4461,—,,2.71 Years,2,Term Advance 10-Year,,"$5,000 ",5466,,,,10,17-Jan-34,,,,,"$4,585 ",,,,,,,,,,,
5440,"$105,000 ",9.23 x LTM,11376,"$12,613 ",,7.33 Years,64,Life of Rights,,"$40,000 ",5440,,,,,,,,,,,,,,,"$175,433 ",,,,,,
5424,"$25,000 ",3.25 x LTM,7681,"$4,175 ","$23,534 ",2.20 Years,375,Life of Rights,,"$7,000 ",5424,,,,,,,,,,,,,,,,,,,,,
5458,"$55,000 ",10.91 x LTM,5040,"$6,142 ",,7.73 Years,10,Life of Rights,,"$18,500 ",5458,"$116,987 ",,,,,,,,,,,,,,,,,,,,
4860,"$104,000 ",4.08 x LTM,25506,"$36,080 ","$408,525 ",8.89 Years,88,Life of Rights,,"$45,295 ",4860,,,,,,,,,,,,,,,,,,,,,
5258,"$525,000 ",6.83 x LTM,76835,"$85,243 ",,5.28 Years,25,Life of Rights,,"$375,000 ",5258,"$635,699 ",,,,,,,,,,,,,,,,,,,,
4422,"$52,265 ",7.51 x LTM,6959,"$8,226 ",,4.23 Years,9,Life of Rights,,"$45,000 ",4422,,"$33,943 ",,,,,,,,,,,,,,,,,,,
3346,"$11,500 ",2.82 x LTM,4078,"$4,252 ",,6.61 Years,26,Term Advance 10-Year,,"$11,352 ",3346,,,"$49,041 ",6.22,26-Mar-30,,,,,,,,,,,,,,,,
5237,"$10,000 ",11.57 x LTM,865,"$1,367 ",,5.83 Years,110,Term Advance 30-Year,,"$4,125 ",5237,,,"$16,357 ",29.45,17-Jun-53,,,,,,,,,,,,,,,,
4556,"$10,000 ",8.74 x LTM,1145,"$2,906 ",,3.32 Years,2,Life of Rights,,"$8,000 ",4556,,,,,,"$8,719 ",,,,,,,,,,,,,,,
5370,"$16,000 ",3.56 x LTM,4499,"$3,669 ",,11.58 Years,52,Term Advance 10-Year,,"$7,000 ",5370,,,,5.48,26-Jun-29,,"$31,572 ",,,,,,,,,,,,,,
4833,"$13,500 ",7.41 x LTM,1823,"$1,499 ",,10.81 Years,51,Term Advance 30-Year,,"$1,109 ",4833,,,,28.64,18-Aug-52,,,"$20,670 ",,,,,,,,,,,,,
4499,"$13,250 ",5.02 x LTM,2637,"$2,290 ",,19.20 Years,148,Term Advance 10-Year,,"$7,000 ",4499,"$14,183 ",,,10,29-Dec-33,,,,,,,,,,,,,,,,
5011,"$13,500 ",9.69 x LTM,1394,"$1,180 ",,15.87 Years,17,Term Advance 30-Year,,"$9,000 ",5011,,,,28.42,24-May-52,,,,"$11,758 ",,,,,,,,,,,,
5433,"$10,500 ",10.33 x LTM,1016,$962 ,,15.94 Years,22,Term Advance 30-Year,,"$3,500 ",5433,,,,30,22-Dec-53,,,,,"$6,795 ",,,,,,,,,,,
5432,"$192,000 ",14.45 x LTM,13288,"$14,049 ",,25.81 Years,25,Life of Rights,,"$60,000 ",5432,,,,,,,,,,"$85,669 ",,,,,,,,,,,
5443,"$135,500 ",22.87 x LTM,5924,"$6,461 ",,39.21 Years,,Life of Rights,,"$60,000 ",5443,,,,,,,,,,,"$25,762 ",1,,,,,,,,,
5175,"$6,500 ",11.18 x LTM,581,$690 ,,6.65 Years,12,Life of Rights,,"$6,100 ",5175,"$9,926 ",,,,,,,,,,,,,,,,,,,,
5442,"$6,000 ",4.63 x LTM,1296,$878 ,,4.48 Years,280,Term Advance 30-Year,,"$2,000 ",5442,,,,30,14-Dec-53,,,,,,"$2,877 ",,,,,,,,,,
5376,"$11,000 ",2.53 x LTM,4346,—,,1.56 Years,,Life of Rights,,"$4,000 ",5376,,,,,,,,,,,,1,"$8,768 ",,,,,,,,
5377,"$12,000 ",2.74 x LTM,4385,—,,1.56 Years,,Life of Rights,,"$4,000 ",5377,,,,,,,,,,,,1,"$11,400 ",,,,,,,,
5425,"$12,501 ",8.92 x LTM,1401,"$1,351 ",,11.92 Years,9,Term Advance 30-Year,,"$5,500 ",5425,"$9,115 ",,,30,12-Dec-53,,,,,,,,,,,,,,,,
5437,"$11,501 ",6.15 x LTM,1869,"$1,503 ",,10.87 Years,71,Term Advance 30-Year,,"$7,500 ",5437,,,,30,12-Dec-53,,,,,"$19,405 ",,,,,,,,,,,
5402,"$55,000 ",13.55 x LTM,4058,"$3,531 ",,16.78 Years,16,Life of Rights,,"$20,000 ",5402,,,,,,,,,,,,,,"$29,676 ",,,,,,,
5412,"$130,000 ",21.94 x LTM,5924,"$6,461 ",,39.21 Years,,Life of Rights,,"$20,000 ",5412,,,,,,,,,,,"$25,762 ",1,,,,,,,,,
5429,"$13,500 ",7.08 x LTM,1908,"$2,225 ",,5.14 Years,,Life of Rights,,"$7,000 ",5429,,,,,,,,,,,"$33,752 ",1,,,,,,,,,
5064,"$89,900 ",12.55 x LTM,7163,"$6,767 ","$109,082 ",45.75 Years,,Term Advance 30-Year,,"$40,794 ",5064,,,,29.21,22-Feb-53,,,,,,,1,,,,,,,,,
5417,"$33,000 ",8.56 x LTM,3856,"$3,143 ",,13.14 Years,101,Life of Rights,,"$8,000 ",5417,,,,,,,,,,,,,,,"$27,668 ",,,,,,
5313,"$12,000 ",5.55 x LTM,2162,"$2,977 ",,4.68 Years,40,Life of Rights,,"$10,885 ",5313,,,,,,,,,,,"$30,053 ",,,,,,,,,,
5345,"$21,000 ",4.81 x LTM,4364,"$2,768 ",,1.89 Years,66,Life of Rights,,"$17,500 ",5345,,,,,,,,,,,"$8,425 ",,,,,,,,,,
5414,"$6,000 ",3.44 x LTM,1742,"$1,318 ",,3.12 Years,7,Term Advance 10-Year,,"$2,000 ",5414,,,,10,4-Dec-33,"$4,709 ",,,,,,,,,,,,,,,
5416,"$64,000 ",16.75 x LTM,3822,"$3,153 ","$27,829 ",10.25 Years,46,Life of Rights,,"$15,000 ",5416,,,,,,,,,,,,,,,,,,,,,
5179,"$9,500 ",9.20 x LTM,1033,"$1,299 ",,4.28 Years,50,Life of Rights,,"$9,500 ",5179,,,,,,,,,,,"$5,646 ",,,,,,,,,,
4745,"$9,000 ",7.92 x LTM,1137,"$1,131 ",,4.04 Years,73,Life of Rights,,"$9,000 ",4745,,,,,,,,,,,,,,,,"$5,838 ",,,,,
5252,"$860,000 ",6.06 x LTM,141944,"$148,103 ","$568,076 ",3.52 Years,415,Life of Rights,,"$500,000 ",5252,,,,,,,,,,,,,,,,,,,,,
5403,"$61,000 ",16.32 x LTM,3738,"$2,970 ",,19.61 Years,144,Life of Rights,,"$12,000 ",5403,,,,,,,,,,,,,,"$22,761 ",,,,,,,
5183,"$361,000 ",7.26 x LTM,49691,"$53,237 ",,11.06 Years,29,Term Advance 30-Year,,"$240,000 ",5183,,,,30,25-Nov-53,,,,,,,,,"$371,284 ",,,,,,,
5405,"$160,000 ",5.32 x LTM,30076,"$21,575 ",,3.33 Years,16,Life of Rights,,"$70,000 ",5405,,,,,,"$69,071 ",,,,,,,,,,,,,,,
5153,"$236,000 ",7.76 x LTM,30401,"$26,989 ",,23.46 Years,249,Life of Rights,,"$199,000 ",5153,,,,,,,"$296,656 ",,,,,,,,,,,,,,
5393,"$17,500 ",3.49 x LTM,5018,—,,1.29 Years,,Term Advance 30-Year,,"$5,000 ",5393,,,,30,23-Nov-53,,,,,,,1,"$5,018 ",,,,,,,,
5371,"$199,004 ",6.41 x LTM,31069,"$29,178 ",,5.03 Years,230,Life of Rights,,"$110,000 ",5371,,,,,,,,,,,"$158,002 ",,,,,,,,,,
5324,"$170,000 ",5.39 x LTM,31545,"$48,910 ",,3.44 Years,138,Life of Rights,,"$120,000 ",5324,,,,,,,,,,,"$182,591 ",,,,,,,,,,
5391,"$61,000 ",5.80 x LTM,10523,"$7,971 ",,10.62 Years,9,Term Advance 30-Year,,"$35,000 ",5391,,,,30,17-Nov-53,,,,,"$46,995 ",,,,,,,,,,,
5314,"$70,666 ",3.90 x LTM,18101,"$23,982 ",,3.16 Years,3,Term Advance 10-Year,,"$20,000 ",5314,,,,10,16-Nov-33,"$71,945 ",,,,,,,,,,,,,,,
5380,"$41,000 ",6.01 x LTM,6819,"$11,474 ","$60,102 ",4.57 Years,46,Life of Rights,,"$25,000 ",5380,,,,,,,,,,,,,,,,,,,,,
5390,"$23,550 ",10.59 x LTM,2223,"$2,372 ",,17.57 Years,21,Life of Rights,,"$9,000 ",5390,"$23,600 ",,,,,,,,,,,,,,,,,,,,
5388,"$21,200 ",8.89 x LTM,2385,"$1,925 ","$13,442 ",18.46 Years,17,Life of Rights,,"$12,000 ",5388,,,,,,,,,,,,,,,,,,,,,
5383,"$13,560 ",5.88 x LTM,2305,"$2,806 ",,3.50 Years,6,Life of Rights,,"$8,000 ",5383,,"$9,194 ",,,,,,,,,,,,,,,,,,,
5328,"$51,000 ",4.25 x LTM,11999,"$8,180 ",,24.09 Years,8,Life of Rights,,"$25,000 ",5328,"$50,905 ",,,,,,,,,,,,,,,,,,,,
5362,"$150,000 ",8.17 x LTM,18350,"$16,624 ",,16.01 Years,235,Life of Rights,,"$70,000 ",5362,,,"$254,612 ",,,,,,,,,,,,,,,,,,
5378,"$180,000 ",6.88 x LTM,26180,"$18,746 ",,10.86 Years,,Life of Rights,,"$75,000 ",5378,"$95,361 ",,,1,,,,,,,,,,,,,,,,,
5379,"$150,000 ",7.56 x LTM,19837,"$14,737 ","$159,138 ",10.75 Years,42,Life of Rights,,"$90,000 ",5379,,,,,,,,,,,,,,,,,,,,,
5375,"$65,500 ",5.23 x LTM,12516,"$15,186 ",,4.71 Years,11,Life of Rights,,"$50,000 ",5375,"$55,951 ",,,,,,,,,,,,,,,,,,,,
5358,"$14,000 ",4.43 x LTM,3163,"$2,387 ",,3.82 Years,92,Life of Rights,,"$2,899 ",5358,,,,,"$12,637 ",,,,,,,,,,,,,,,,
5372,"$140,000 ",4.65 x LTM,30076,"$21,575 ",,3.33 Years,16,Life of Rights,,"$80,000 ",5372,,"$69,071 ",,,,,,,,,,,,,,,,,,,
5279,"$41,000 ",9.15 x LTM,4479,"$3,652 ",,23.31 Years,4,Term Advance 30-Year,,"$18,750 ",5279,,,,,,"$43,202 ","$37,500 ",18-Jul-23,29.73,18-Jul-53,,,,,,,,,,,
5359,"$31,000 ",5.87 x LTM,5283,"$5,181 ",,4.78 Years,81,Life of Rights,,"$5,000 ",5359,,,,,,,,,,,"$34,082 ",,,,,,,,,,
5368,"$151,000 ",11.92 x LTM,12665,"$12,718 ",,43.90 Years,254,Life of Rights,,"$75,000 ",5368,,,,,"$58,727 ",,,,,,,,,,,,,,,,
5349,"$30,500 ",3.29 x LTM,9283,"$6,560 ",,3.52 Years,7,Term Advance 30-Year,,"$10,000 ",5349,,"$19,679 ",,,,,,,30,20-Oct-53,,,,,,,,,,,
5354,"$30,700 ",5.05 x LTM,6079,—,,3.97 Years,19,Life of Rights,,"$22,000 ",5354,,,,,,,,,,,,"$28,578 ",,,,,,,,,
5363,"$13,000 ",6.34 x LTM,2050,"$1,324 ",,6.29 Years,13,Life of Rights,,"$5,000 ",5363,,,,,,,,,,,,,"$7,793 ",,,,,,,,
4978,"$16,150 ",3.64 x LTM,4433,"$6,337 ",,4.04 Years,,Life of Rights,,"$10,000 ",4978,,,,1,,,,,,,,,,"$29,235 ",,,,,,,
5346,"$29,500 ",7.61 x LTM,3875,"$3,809 ",,8.23 Years,12,Term Advance 30-Year,,"$4,000 ",5346,,,,,,,,,30,10-Oct-53,,,,,"$31,159 ",,,,,,
4216,"$76,000 ",7.41 x LTM,10256,"$10,385 ",,8.81 Years,3,Life of Rights,,"$11,746 ",4216,,,,,,,"$100,000 ",18-Sep-21,,,,,,,,"$160,591 ",,,,,
5340,"$21,200 ",9.92 x LTM,2138,"$2,300 ","$19,375 ",21.39 Years,14,Life of Rights,,"$2,000 ",5340,,,,,,,,,,,,,,,,,,,,,
5294,"$23,900 ",1.89 x LTM,12656,—,,2.24 Years,4,Term Advance 10-Year,,"$8,000 ",5294,,,,,,,,,10,4-Oct-33,,"$14,264 ",,,,,,,,,
5316,"$14,000 ",3.53 x LTM,3967,"$3,425 ",,11.32 Years,52,Term Advance 10-Year,,"$5,162 ",5316,,,"$29,936 ",,,,"$23,600 ",26-Jun-19,5.72,26-Jun-29,,,,,,,,,,,
5343,"$40,400 ",4.49 x LTM,9007,"$8,327 ","$50,888 ",6.57 Years,26,Life of Rights,,"$10,000 ",5343,,,,,,,,,,,,,,,,,,,,,
5187,"$6,500,000 ",4.83 x LTM,1344875,"$850,813 ",,15.44 Years,2386,Life of Rights,,"$4,000,000 ",5187,,,,,,,,,,,,,,,"$8,445,234 ",,,,,,
5327,"$8,805 ",11.35 x LTM,776,$972 ,,5.92 Years,7,Life of Rights,,$750 ,5327,,,,,,,,,,,"$5,381 ",,,,,,,,,,
5007,"$12,500 ",5.12 x LTM,2439,"$4,444 ",,4.77 Years,,Life of Rights,,"$11,000 ",5007,,,,1,,,"$20,500 ",20-Jul-22,,,,,,"$16,263 ",,,,,,,
4143,"$15,217 ",21.44 x LTM,710,$893 ,,17.35 Years,26,Life of Rights,,"$13,000 ",4143,,,,,,,"$12,000 ",21-May-21,,,,,,,,,"$38,854 ",,,,
5325,"$39,999 ",4.39 x LTM,9106,"$10,587 ",,6.38 Years,,Term Advance 10-Year,,"$18,000 ",5325,,,,1,,,,,10,25-Sep-33,,,"$124,385 ",,,,,,,,
5333,"$12,500 ",3.10 x LTM,4029,"$2,221 ",,2.09 Years,72,Life of Rights,,"$4,000 ",5333,,,,,,,,,,,,,,,,"$11,381 ",,,,,
5329,"$30,000 ",6.97 x LTM,4305,"$5,833 ",,6.60 Years,33,Life of Rights,,"$12,000 ",5329,,,,,,,,,,,,,,,,,,"$86,413 ",,,
5306,"$70,800 ",7.39 x LTM,9584,"$10,210 ",,6.85 Years,133,Term Advance 30-Year,,"$20,000 ",5306,,,,,,,,,30,22-Sep-53,,,,,,,,,"$102,413 ",,
5040,"$18,700 ",8.97 x LTM,2086,"$2,998 ",,6.38 Years,52,Life of Rights,,"$18,100 ",5040,,,,,"$18,582 ",,"$16,100 ",14-Oct-22,,,,,,,,,,,,,
5323,"$19,000 ",5.46 x LTM,3479,—,,5.37 Years,128,Life of Rights,,"$3,500 ",5323,,,,,,,,,,,,"$10,651 ",,,,,,,,,
5300,"$47,200 ",1.74 x LTM,27130,—,,1.00 Years,,Life of Rights,,"$15,000 ",5300,,,,1,,,,,,,,,,,,,,,,"$27,130 ",
5301,"$41,000 ",3.56 x LTM,11514,—,,2.40 Years,,Life of Rights,,"$15,000 ",5301,,,,1,,,,,,,,,,,,,,,,"$12,325 ",
5238,"$33,250 ",6.43 x LTM,5167,"$6,983 ",,4.66 Years,4,Life of Rights,,"$19,000 ",5238,,,,,,,,,,,,,,"$29,228 ",,,,,,,
5312,"$6,200 ",3.44 x LTM,1802,—,,3.22 Years,2,Life of Rights,,"$1,500 ",5312,,,,,,,,,,,,,,,,,,,,"$1,802 ",
5305,"$11,000 ",4.75 x LTM,2313,"$1,195 ",,9.13 Years,15,Life of Rights,,"$4,000 ",5305,,,,,"$6,834 ",,,,,,,,,,,,,,,,
5308,"$401,000 ",5.14 x LTM,77995,"$92,389 ",,9.13 Years,3,Life of Rights,,"$150,000 ",5308,,,,,"$432,286 ",,,,,,,,,,,,,,,,
5217,"$219,603 ",8.80 x LTM,24947,"$24,093 ","$268,006 ",11.35 Years,54,Life of Rights,,"$100,000 ",5217,,,,,,,,,,,,,,,,,,,,,
5213,"$52,100 ",5.98 x LTM,8716,"$6,030 ",,8.89 Years,33,Life of Rights,,"$30,000 ",5213,"$42,954 ",,,,,,,,,,,,,,,,,,,,
5230,"$25,000 ",4.78 x LTM,5232,—,,2.72 Years,,Term Advance 30-Year,,"$10,000 ",5230,,"$11,627 ",1,30,24-Jun-53,,,,,,,,,,,,,,,,
5226,"$52,000 ",12.34 x LTM,4214,"$3,957 ",,15.04 Years,80,Life of Rights,,"$10,000 ",5226,,,,,,"$110,421 ",,,,,,,,,,,,,,,
5219,"$21,000 ",8.67 x LTM,2421,"$2,068 ",,20.45 Years,6,Term Advance 30-Year,,"$10,000 ",5219,,,,30,22-Jun-53,,"$15,183 ",,,,,,,,,,,,,,
4652,"$4,701 ",3.96 x LTM,1186,"$1,038 ","$4,778 ",14.65 Years,7,Term Advance 10-Year,,"$1,420 ",4652,,,,8.88,8-May-32,,,"$3,841 ",8-May-22,,,,,,,,,,,,
5161,"$85,000 ",4.92 x LTM,17267,—,,2.41 Years,14,Life of Rights,,"$40,000 ",5161,,,,,,,,,,"$28,242 ",,,,,,,,,,,
4230,"$82,000 ",5.22 x LTM,15714,"$9,199 ",,12.75 Years,58,Life of Rights,,"$4,984 ",4230,,,,,,,,"$50,000 ",24-Aug-21,,"$52,752 ",,,,,,,,,,
4157,"$15,100 ",7.75 x LTM,1949,"$2,144 ",,15.30 Years,50,Term Advance 30-Year,,"$5,000 ",4157,,,,30,21-Jun-53,,,,,,,"$29,443 ",,,,,,,,,
4245,"$15,501 ",6.21 x LTM,2498,"$2,850 ",,5.10 Years,31,Life of Rights,,"$6,000 ",4245,,,,,,,,"$20,000 ",22-Sep-21,,,,"$10,633 ",,,,,,,,
4931,"$24,000 ",9.83 x LTM,2441,"$2,541 ",,4.50 Years,,Life of Rights,,"$20,000 ",4931,,,1,,,,,"$17,000 ",1-Sep-22,,,,"$13,785 ",,,,,,,,
4994,"$11,407 ",2.63 x LTM,4346,"$3,182 ",,4.31 Years,,Term Advance 10-Year,,"$2,335 ",4994,,,1,9.56,9-Jan-33,,,"$8,211 ",9-Jan-23,,,,,"$10,067 ",,,,,,,
5212,"$8,250 ",6.87 x LTM,1200,"$1,436 ",,4.58 Years,110,Term Advance 30-Year,,"$3,000 ",5212,,,,30,17-Jun-53,,,,,,,,,,"$15,954 ",,,,,,
5201,"$4,520 ",4.15 x LTM,1089,"$1,290 ",,3.26 Years,15,Term Advance 10-Year,,"$2,260 ",5201,,,,9.97,7-Jun-33,,,"$4,520 ",7-Jun-23,,,,,"$6,031 ",,,,,,,
5203,"$25,000 ",8.67 x LTM,2883,"$2,380 ",,15.90 Years,3,Term Advance 30-Year,,"$13,000 ",5203,,,,30,15-Jun-53,,,,,,,,,,,"$33,199 ",,,,,
4584,"$850,000 ",8.06 x LTM,105451,"$102,070 ",,7.21 Years,67,Life of Rights,,"$90,630 ",4584,"$686,123 ",,,,,,,"$730,000 ",15-Mar-22,,,,,,,,,,,,
5200,"$97,000 ",9.60 x LTM,10100,"$7,821 ",,23.14 Years,3,Life of Rights,,"$50,000 ",5200,,,,,,,,,,,,,,,,,"$61,202 ",,,,
5208,"$3,001 ",2.80 x LTM,1071,$450 ,,1.70 Years,3,Life of Rights,,"$1,071 ",5208,,,,,,,,,,,"$1,812 ",,,,,,,,,,
4898,"$130,000 ",2.95 x LTM,44055,"$49,114 ",,5.49 Years,5,Term Advance 10-Year,,"$130,000 ",4898,,,,9.37,24-Oct-32,,,"$125,000 ",24-Oct-22,,"$228,557 ",,,,,,,,,,
5199,"$8,000 ",3.42 x LTM,2337,—,,1.27 Years,7,Life of Rights,,"$2,500 ",5199,,,,,,,,,,,,,,,,,,"$2,447 ",,,
5189,"$10,000 ",1.76 x LTM,5683,"$1,897 ",,1.34 Years,4,Life of Rights,,"$4,000 ",5189,,,,,,,,,,,,,,,"$6,068 ",,,,,,
5185,"$4,520 ",4.15 x LTM,1089,"$1,290 ",,3.26 Years,15,Term Advance 10-Year,,"$3,000 ",5185,,,,10,7-Jun-33,,,,,,,,,"$6,031 ",,,,,,,
5172,"$18,000 ",3.96 x LTM,4542,"$4,040 ",,2.53 Years,19,Life of Rights,,"$8,000 ",5172,,,,,,,,,,,,,,"$12,737 ",,,,,,,
2817,"$3,400 ",3.61 x LTM,942,$758 ,,10.21 Years,25,Term Advance 10-Year,,"$3,382 ",2817,,,,5.36,15-Oct-28,,,"$7,900 ",15-Oct-18,,,"$41,001 ",,,,,,,,,
4888,"$13,355 ",6.58 x LTM,2030,"$2,089 ",,5.98 Years,5,Term Advance 10-Year,,"$10,000 ",4888,,,,9.39,28-Oct-32,,,"$11,765 ",28-Oct-22,,,,"$12,885 ",,,,,,,,
